"","Indicator","year","Indicator_no","Total.number.of.pregnant.women.Registered.for.ANC...","Number.of.Pregnant.women.registered.within.first.trimester...","Number.of.Women.registered.under.JSY...","X..1st.Trimester.registration.to.Total.ANC.Registrations...","X..JSY.registration.to.Total.ANC.Registration...","Number.of.pregnant.women.received.3.ANC.check.ups...","TT2.or.Booster.given.to.Pregnant.women..numbers....","X..Pregnant.Woman.received.3.ANC.check.ups.to.Total.ANC.Registrations...","X..Pregnant.women.received.TT2.or.Booster.to.Total.ANC.Registration...","Number.of.Pregnant.women.given.100.IFA.tablets...","X..Pregnant.women.given.100.IFA.to.Total.ANC.Registration...","Number.having.Hb.level.11..tested.cases....","Number.having.severe.anaemia..Hb.7..treated.at.institution...","X..Pregnant.women.having.severe.anaemia..Hb.7..treated.at.institution.to.women.having.hb.level.11...","X..New.cases.detected.at.institution.for.hypertension.to.Total.ANC.Registrations...","Number.of.Home.deliveries...","Number.of.home.deliveries.attended.by.SBA.trained..Doctor.Nurse.ANM....","Number.of.home.deliveries.attended.by.Non.SBA.trained..trained.TB.Dai....","X..SBA.attended.home.deliveries.to.Total.Reported.Home.Deliveries...","Mothers.paid.JSY.incentive.for.home.deliveries...","X..Mothers.paid.JSY.incentive.for.home.deliveries.to.Total.Reported.Home.Deliveries...","Deliveries.Conducted.at.Public.Institutions...","Number.of.Women.Discharged.under.48.hours.of.delivery.in.public.facilities...","X..Women.discharged.in.less.than.48.hours.of.delivery.to.Total.Reported.Deliveries.at.public.institutions...","Institutional.deliveries..Public.Insts..Pvt..Insts.....","X..Institutional.Deliveries.to.total.ANC.registration...","Total.reported.deliveries...","X..Institutional.deliveries.to.Total.Reported.Deliveries...","X..Safe.deliveries.to.Total.Reported.Deliveries...","X..Home.deliveries.to.Total.Reported.Deliveries...","Number.of.C.section.deliveries.conducted.at.public.facilities...","Number.of.C.section.deliveries.conducted.at.private.facilities...","X..C.section.deliveries..Public...Pvt...to.reported.institutional..Public...Pvt...deliveries...","X..C.sections.conducted.at.public.facilities.to.Deliveries.conducted.at.public.facilities...","X..C.sections.conducted.at.Private.facilities.to.Deliveries.conducted.at.private.facilities...","X..Deliveries.conducted.at.Public.Institutions.to.Total.Institutional.Deliveries...","X..Mothers.paid.JSY.Incentive.for.Delivery.at.Public.institution.to.Total.Public.Deliveries...","X..of.cases.where.JSY.Incentive.paid.to.ASHA.for.Delivery.at.Public.institution.to.Total.Public.Deliveries...","X..Deliveries.conducted.at.Private.Institutions.to.Total.Institutional.Deliveries...","Women.received.post.partum.check.up.within.48.hours.of.delivery...","Post...Natal.Care...Women.got.a.post.partum.check.up.between.48.hours.and.14.days...","X..Women.receiving.post.partum.check.up.within.48.hours.of.delivery.to.Total.Reported.Deliveries...","X..Women.getting.Post.Partum.Checkup.between.48.hours.and.14.days.to.Total.Deliveries...","Total.Number.of.reported.live.births...","X..Total.Reported.Live.Births.to.Total.Deliveries...","Total.Number.of.reported.Still.Births...","X..live.birth.to.Reported.Birth...","Number.of.Newborns.weighed.at.birth...","X..Newborns.weighed.at.birth.to.live.birth...","Number.of.Newborns.having.weight.less.than.2.5.kg...","X..Newborns.having.weight.less.than.2.5.kg.to.Newborns.weighed.at.birth..."
"1621","Orkkattery CHC Area","2015-16",8,"2,006","1,552","1,999",77.4,99.7,"1,715","906",85.5,45.2,"1,861",92.8,"380","0",0,2.3,1,0,1,0,0,0,"0",0,NA,"0",0,"1",0,0,100,"0","0",NA,NA,NA,NA,NA,NA,NA,"0","1,728",0,2800,"1",100,0,100,"0",0,"0",NA
"1631","Perambra CHC Area","2015-16",8,"2,775","2,322","2,710",83.7,97.7,"2,332","1,990",84,71.7,"2,350",84.7,"432","0",0,0.9,1,0,1,0,0,0,"356",0,0,"356",12.8,"357",99.7,99.7,0.3,"0","0",0,0,NA,100,36.5,0,0,"357","2,435",100,682.1,"356",99.7,1,99.7,"356",100,"30",8.4
"1641","Thalakkulathur CHC Area","2015-16",8,"2,164","1,624","2,151",75,99.4,"1,998","1,125",92.3,52,"1,932",89.3,"211","0",0,1.1,0,0,0,NA,0,NA,"0",0,NA,"0",0,"0",NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,"9","1,635",NA,NA,"0",NA,0,NA,"0",NA,"0",NA
"1651","Thiruvallur CHC Area","2015-16",8,"2,257","1,703","2,216",75.5,98.2,"2,100","1,107",93,49,"1,592",70.5,"312","4",1.3,0.9,0,0,0,NA,0,NA,"0",0,NA,"66",2.9,"66",100,100,0,"0","8",12.1,NA,12.1,0,NA,NA,100,"66","1,828",100,2769.7,"66",100,0,100,"66",100,"1",1.5
"1661","Thiruvangoor BPHC Area","2015-16",8,"1,523","1,181","1,408",77.5,92.4,"1,319","936",86.6,61.5,"1,503",98.7,"94","0",0,0.9,0,0,0,NA,0,NA,"0",0,NA,"0",0,"0",NA,NA,NA,"0","0",NA,NA,NA,NA,NA,NA,NA,"0","1,239",NA,NA,"0",NA,0,NA,"0",NA,"0",NA
"1671","Ulliyeri CHC Area","2015-16",8,"1,938","1,682","1,932",86.8,99.7,"1,767","948",91.2,48.9,"1,162",60,"289","0",0,1.5,1,1,0,100,0,0,"0",6,NA,"288",14.9,"289",99.7,100,0.3,"0","135",46.9,NA,46.9,0,NA,NA,100,"171","1,640",59.2,567.5,"290",100.3,1,99.7,"290",100,"16",5.5
"1681","Valayam BPHC Area","2015-16",8,"2,363","1,863","2,363",78.8,100,"2,176","790",92.1,33.4,"2,067",87.5,"198","0",0,2.1,0,0,0,NA,0,NA,"0",0,NA,"0",0,"0",NA,NA,NA,"0","0",NA,NA,NA,NA,NA,NA,NA,"2","2,014",NA,NA,"0",NA,0,NA,"0",NA,"0",NA
"1691","W and C Hospital Calicut","2015-16",8,"1,357","775","1,293",57.1,95.3,"1,166","3,657",85.9,269.5,"1,785",131.5,"175","12",6.9,9.4,1,1,0,100,0,0,"4,321",0,0,"8,201",604.3,"8,202",100,100,0,"1,960","2,319",52.2,45.4,59.8,52.7,100,0,47.3,"8,208","7,935",100.1,96.7,"8,258",100.7,3,100,"8,258",100,"617",7.5
"1711","Chungathara BPHCArea","2015-16",9,"5,638","4,824","4,691",85.6,83.2,"5,012","2,807",88.9,49.8,"5,255",93.2,"798","10",1.3,0.6,39,1,38,2.6,1,2.6,"0",0,NA,"1,745",31,"1,784",97.8,97.9,2.2,"0","518",29.7,NA,29.7,0,NA,NA,100,"1,779","6,099",99.7,341.9,"1,784",100,3,99.8,"1,784",100,"160",9
"1721","District Hospital Manjeri","2015-16",9,"2,876","2,098","827",72.9,28.8,"1,876","2,719",65.2,94.5,"2,680",93.2,"977","74",7.6,14.8,13,0,13,0,0,0,"2,893",0,0,"8,252",286.9,"8,265",99.8,99.8,0.2,"520","1,691",26.8,18,31.6,35.1,63.5,0.1,64.9,"8,263","3,765",100,45.6,"8,311",100.6,22,99.7,"8,311",100,"1,052",12.7
"1731","Edavanna BPHCArea","2015-16",9,"5,222","4,549","4,194",87.1,80.3,"4,209","2,121",80.6,40.6,"4,769",91.3,"494","0",0,1,16,0,16,0,0,0,"0",0,NA,"770",14.7,"786",98,98,2,"0","254",33,NA,33,0,NA,NA,100,"787","4,071",100.1,517.9,"788",100.3,0,100,"788",100,"50",6.3
"1741","Kondotty BPHCArea","2015-16",9,"5,350","4,056","4,225",75.8,79,"4,407","3,068",82.4,57.3,"4,351",81.3,"467","18",3.9,4.5,7,1,6,14.3,1,14.3,"0",0,NA,"5,410",101.1,"5,417",99.9,99.9,0.1,"0","907",16.8,NA,16.8,0,NA,NA,100,"5,198","6,471",96,119.5,"5,397",99.6,21,99.6,"5,397",100,"316",5.9
"1751","Kuttippuram BPHCArea","2015-16",9,"4,886","3,907","1,073",80,22,"4,295","3,394",87.9,69.5,"4,113",84.2,"490","6",1.2,1.1,6,0,6,0,0,0,"0",0,NA,"3,836",78.5,"3,842",99.8,99.8,0.2,"0","1,384",36.1,NA,36.1,0,NA,NA,100,"3,840","5,365",99.9,139.6,"3,850",100.2,4,99.9,"3,804",98.8,"217",5.7
"1761","Mankada BPHCArea","2015-16",9,"7,507","6,065","2,278",80.8,30.3,"6,356","7,221",84.7,96.2,"6,808",90.7,"746","15",2,0.5,10,4,6,40,0,0,"0",0,NA,"2,269",30.2,"2,279",99.6,99.7,0.4,"0","1,359",59.9,NA,59.9,0,NA,NA,100,"2,278","6,703",100,294.1,"2,257",99,76,96.7,"2,257",100,"433",19.2
"1771","Marancherry BPHCArea","2015-16",9,"3,402","2,858","1,113",84,32.7,"2,866","1,825",84.2,53.6,"3,025",88.9,"2,266","0",0,2.4,1,1,0,100,0,0,"0",0,NA,"1,884",55.4,"1,885",99.9,100,0.1,"0","543",28.8,NA,28.8,0,NA,NA,100,"1,885","3,684",100,195.4,"1,893",100.4,1,99.9,"1,893",100,"150",7.9
"1781","Melattur BPHCArea","2015-16",9,"5,764","4,706","3,962",81.6,68.7,"4,708","7,258",81.7,125.9,"7,892",136.9,"2,060","6",0.3,11.4,7,0,7,0,0,0,"0",0,NA,"4,762",82.6,"4,769",99.9,99.9,0.1,"0","2,639",55.4,NA,55.4,0,NA,NA,100,"4,639","7,512",97.3,157.5,"4,833",101.3,32,99.3,"4,833",100,"782",16.2
"1791","Neduva BPHCArea","2015-16",9,"6,616","5,198","2,425",78.6,36.7,"5,680","4,312",85.9,65.2,"4,627",69.9,"215","0",0,0.3,13,1,12,7.7,0,0,"0",0,NA,"6,811",102.9,"6,824",99.8,99.8,0.2,"0","1,651",24.2,NA,24.2,0,NA,NA,100,"6,216","5,998",91.1,87.9,"6,860",100.5,16,99.8,"6,860",100,"653",9.5
"1801","Ommannur BPHCArea","2015-16",9,"4,471","3,710","4,119",83,92.1,"3,972","2,367",88.8,52.9,"3,821",85.5,"386","0",0,0.9,6,0,6,0,1,16.7,"0",0,NA,"428",9.6,"434",98.6,98.6,1.4,"0","52",12.1,NA,12.1,0,NA,NA,100,"433","4,024",99.8,927.2,"431",99.3,3,99.3,"424",98.4,"22",5.2
"1811","Pookottur BPHCArea","2015-16",9,"6,220","4,773","2,562",76.7,41.2,"5,023","6,450",80.8,103.7,"11,367",182.7,"2,499","253",10.1,30.9,22,3,19,13.6,0,0,"0",0,NA,"6,859",110.3,"6,881",99.7,99.7,0.3,"0","1,675",24.4,NA,24.4,0,NA,NA,100,"6,575","7,584",95.6,110.2,"6,899",100.3,54,99.2,"6,815",98.8,"1,037",15.2
"1821","THQH Malappuram","2015-16",9,"436","248","47",56.9,10.8,"284","7,662",65.1,1757.3,"492",112.8,"1,626","96",5.9,32.6,NA,NA,NA,NA,NA,NA,"885",0,0,"8,518",1953.7,"8,518",100,100,0,"270","1,904",25.5,30.5,24.9,10.4,20.9,0,89.6,"8,521","4,153",100,48.8,"8,514",100,20,99.8,"8,161",95.9,"639",7.8
"1831","THQH Nilambur","2015-16",9,"88","76","40",86.4,45.5,"71","1,528",80.7,1736.4,"1,252",1422.7,"1,063","0",0,125,NA,NA,NA,NA,NA,NA,"3,583",0,0,"3,729",4237.5,"3,729",100,100,0,"999","68",28.6,27.9,46.6,96.1,56.4,0,3.9,"3,729","199",100,5.3,"3,740",100.3,3,99.9,"3,740",100,"399",10.7
"1841","THQH Perinthalmanna","2015-16",9,"181","145","72",80.1,39.8,"175","4,408",96.7,2435.4,"1,835",1013.8,"795","151",19,139.8,1,0,1,0,0,0,"3,608",0,0,"7,526",4158,"7,527",100,100,0,"1,748","994",36.4,48.4,25.4,47.9,101.4,0,52.1,"7,412","2,753",98.5,36.6,"7,536",100.1,25,99.7,"7,536",100,"600",8
"1851","THQH Ponnani","2015-16",9,"1,136","892","879",78.5,77.4,"1,011","949",89,83.5,"978",86.1,"1,082","78",7.2,4.4,0,0,0,NA,0,NA,"1,635",10,0.6,"1,635",143.9,"1,635",100,100,0,"693",NA,42.4,42.4,NA,100,84.3,0,0,"1,634","1,229",99.9,75.2,"1,646",100.7,0,100,"1,646",100,"109",6.6
"1861","THQH Thiruurangadi","2015-16",9,"170","136","56",80,32.9,"155","4,758",91.2,2798.8,"555",326.5,"638","227",35.6,201.2,NA,NA,NA,NA,NA,NA,"351",0,0,"8,300",4882.4,"8,300",100,100,0,"53","2,385",29.4,15.1,30,4.2,94.3,0,95.8,"8,310","5,983",100.1,72.1,"8,351",100.6,34,99.6,"8,351",100,"1,056",12.6
"1871","THQH Tiruur","2015-16",9,"1,647","1,181","358",71.7,21.7,"1,334","652",81,39.6,"1,265",76.8,"68","113",166.2,0.1,1,0,1,0,0,0,"1,896",0,0,"1,896",115.1,"1,897",99.9,99.9,0.1,"644",NA,34,34,NA,100,40.8,1.3,0,"1,897","1,484",100,78.2,"1,896",99.9,5,99.7,"1,896",100,"107",5.6
"1881","Thavanur BPHCArea","2015-16",9,"3,043","2,696","1,060",88.6,34.8,"2,776","1,584",91.2,52.1,"2,325",76.4,"56","5",8.9,2.5,1,0,1,0,0,0,"215",0,0,"3,864",127,"3,865",100,100,0,"122","1,596",44.5,56.7,43.7,5.6,51.6,0,94.4,"3,864","4,649",100,120.3,"3,960",102.5,33,99.2,"3,959",100,"905",22.9
"1891","Valavannur BPHCArea","2015-16",9,"7,554","5,957","3,076",78.9,40.7,"6,523","2,161",86.4,28.6,"6,888",91.2,"237","0",0,0.4,38,2,36,5.3,0,0,"0",0,NA,"1,226",16.2,"1,264",97,97.2,3,"0","331",27,NA,27,0,NA,NA,100,"1,259","6,279",99.6,496.8,"1,263",99.9,1,99.9,"1,263",100,"144",11.4
"1901","Vengara BPHCArea","2015-16",9,"7,840","6,163","900",78.6,11.5,"6,501","1,644",82.9,21,"6,759",86.2,"157","0",0,2.6,17,3,14,17.6,0,0,"0",0,NA,"999",12.7,"1,016",98.3,98.6,1.7,"0","117",11.7,NA,11.7,0,NA,NA,100,"1,056","6,547",103.9,644.4,"1,014",99.8,3,99.7,"1,014",100,"85",8.4
"1911","Vettom BPHCArea","2015-16",9,"4,997","3,981","1,974",79.7,39.5,"3,291","1,547",65.9,31,"4,012",80.3,"595","9",1.5,5.3,3,0,3,0,0,0,"0",0,NA,"1,361",27.2,"1,364",99.8,99.8,0.2,"0","497",36.5,NA,36.5,0,NA,NA,100,"1,366","3,787",100.1,277.6,"1,384",101.5,8,99.4,"1,384",100,"236",17.1
"1921","Wandoor BPHCArea","2015-16",9,"7,261","5,900","7,104",81.3,97.8,"6,478","4,678",89.2,64.4,"6,840",94.2,"594","44",7.4,3,9,0,9,0,1,11.1,"83",0,0,"4,240",58.4,"4,249",99.8,99.8,0.2,"0","1,155",27.2,0,27.8,2,37.3,0,98,"4,274","7,801",100.6,183.6,"4,260",100.3,6,99.9,"4,259",100,"338",7.9
"1941","Agali CHCArea","2015-16",10,"998","685","905",68.6,90.7,"1,095","578",109.7,57.9,"855",85.7,"103","0",0,0.9,23,1,22,4.3,1,4.3,"4",1,25,"116",11.6,"139",83.5,84.2,16.5,"0","39",33.6,0,34.8,3.4,175,0,96.6,"129","932",92.8,670.5,"136",97.8,3,97.8,"136",100,"32",23.5
"1951","Alanellur CHCArea","2015-16",10,"5,880","4,248","2,755",72.2,46.9,"5,058","3,745",86,63.7,"1,843",31.3,"259","0",0,0.4,22,5,17,22.7,0,0,"0",0,NA,"5,014",85.3,"5,036",99.6,99.7,0.4,"0","1,595",31.8,NA,31.8,0,NA,NA,100,"5,035","6,401",100,127.1,"5,069",100.7,7,99.9,"5,069",100,"587",11.6
"1961","Ambalappara CHCArea","2015-16",10,"2,126","1,692","822",79.6,38.7,"1,923","2,180",90.5,102.5,"1,988",93.5,"159","4",2.5,1.6,1,0,1,0,0,0,"0",0,NA,"3,398",159.8,"3,399",100,100,0,"0","1,090",32.1,NA,32.1,0,NA,NA,100,"3,399","4,795",100,141.1,"3,421",100.6,10,99.7,"3,421",100,"396",11.6
"1971","Chalavara CHCArea","2015-16",10,"2,432","1,600","752",65.8,30.9,"2,171","1,552",89.3,63.8,"2,127",87.5,"116","0",0,0.1,0,0,0,NA,0,NA,"0",0,NA,"0",0,"0",NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,"0","2,078",NA,NA,"0",NA,0,NA,"0",NA,"0",NA
"1981","Chalissery CHCArea","2015-16",10,"3,522","2,776","1,207",78.8,34.3,"3,019","3,072",85.7,87.2,"2,516",71.4,"301","5",1.7,5.3,0,0,0,NA,0,NA,"0",0,NA,"2,263",64.3,"2,263",100,100,0,"0","532",23.5,NA,23.5,0,NA,NA,100,"2,263","2,679",100,118.4,"2,265",100.1,9,99.6,"2,237",98.8,"196",8.8
"1991","District Hospital Palakkad","2015-16",10,"1,182","739","512",62.5,43.3,"717","999",60.7,84.5,"761",64.4,"2,245","63",2.8,29.5,0,0,0,NA,0,NA,"5,629",0,0,"13,421",1135.4,"13,421",100,100,0,"2,107","2,956",37.7,37.4,37.9,41.9,46,2.1,58.1,"13,421","12,865",100,95.9,"13,489",100.5,25,99.8,"13,489",100,"1,349",10
"2001","Katampazhipuram CHCArea","2015-16",10,"2,777","2,439","1,495",87.8,53.8,"2,346","2,770",84.5,99.7,"2,184",78.6,"729","4",0.5,0.2,3,2,1,66.7,0,0,"0",0,NA,"1,160",41.8,"1,163",99.7,99.9,0.3,"0","298",25.7,NA,25.7,0,NA,NA,100,"1,161","1,897",99.8,163.1,"1,163",100,2,99.8,"1,163",100,"79",6.8
"2011","Koduvayoor CHCArea","2015-16",10,"3,310","2,888","2,357",87.3,71.2,"3,078","2,862",93,86.5,"2,935",88.7,"128","0",0,0.4,11,2,9,18.2,0,0,"2",1,50,"291",8.8,"302",96.4,97,3.6,"0","144",49.5,0,49.8,0.7,0,50,99.3,"298","2,948",98.7,976.2,"302",100,2,99.3,"302",100,"63",20.9
"2021","Kongad CHCArea","2015-16",10,"2,565","2,183","1,029",85.1,40.1,"2,318","1,960",90.4,76.4,"2,129",83,"717","0",0,1.2,5,0,5,0,0,0,"0",0,NA,"0",0,"5",0,0,100,"0","0",NA,NA,NA,NA,NA,NA,NA,"3","2,119",60,2380,"5",100,0,100,"5",100,"2",40
"2031","Koppam CHCArea","2015-16",10,"4,534","3,466","1,586",76.4,35,"3,969","4,489",87.5,99,"3,937",86.8,"1,842","0",0,0.7,4,0,4,0,0,0,"0",0,NA,"2,466",54.4,"2,470",99.8,99.8,0.2,"0","805",32.6,NA,32.6,0,NA,NA,100,"2,469","5,765",100,233.4,"2,479",100.4,3,99.9,"2,479",100,"304",12.3
"2041","Kozhinjanpara CHC Area","2015-16",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2051","Kuzhalmannam CHCArea","2015-16",10,"2,959","2,400","1,389",81.1,46.9,"2,512","2,372",84.9,80.2,"1,515",51.2,"188","0",0,0.3,8,2,6,25,0,0,"0",0,NA,"1,008",34.1,"1,016",99.2,99.4,0.8,"0","425",42.2,NA,42.2,0,NA,NA,100,"1,015","2,980",99.9,293.3,"1,029",101.3,4,99.6,"1,029",100,"180",17.5
"2061","Nanniyode CHCArea","2015-16",10,"1,808","1,506","1,630",83.3,90.2,"1,653","1,472",91.4,81.4,"861",47.6,"24","0",0,0.7,6,1,5,16.7,0,0,"0",5,NA,"476",26.3,"482",98.8,99,1.2,"0","184",38.7,NA,38.7,0,NA,NA,100,"482","1,547",100,321,"482",100,0,100,"481",99.8,"62",12.9
"2071","Nemmara CHCArea","2015-16",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2081","Parli CHCArea","2015-16",10,"1,627","1,336","851",82.1,52.3,"1,568","1,241",96.4,76.3,"439",27,"141","0",0,0.9,2,0,2,0,0,0,"0",0,NA,"76",4.7,"78",97.4,97.4,2.6,"0","40",52.6,NA,52.6,0,NA,NA,100,"77","1,456",98.7,1866.7,"76",97.4,2,97.4,"76",100,"2",2.6
"2091","Pazhampalakkode CHCArea","2015-16",10,"2,618","2,318","1,127",88.5,43,"2,416","1,490",92.3,56.9,"1,338",51.1,"322","0",0,0.3,2,0,2,0,0,0,"0",0,NA,"1",0,"3",33.3,33.3,66.7,"0","1",100,NA,100,0,NA,NA,100,"2","2,458",66.7,1933.3,"3",100,0,100,"3",100,"2",66.7
"2101","Shornur CHC Area","2015-16",10,"7","4","4",57.1,57.1,"0","2",0,28.6,"0",0,"1",NA,0,0,0,0,0,NA,0,NA,"0",0,NA,"0",0,"0",NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,"0","3",NA,NA,"0",NA,0,NA,"0",NA,"0",NA
"2111","THQH Alathoor","2015-16",10,"0","0","0",NA,NA,"0","544",NA,NA,"244",NA,"154","7",4.5,NA,NA,NA,NA,NA,NA,NA,"526",0,0,"1,338",NA,"1,338",100,100,0,"145","247",29.3,27.6,30.4,39.3,0,0,60.7,"1,338","477",100,35.7,"1,344",100.4,2,99.9,"1,344",100,"151",11.2
"2121","THQH Chittur","2015-16",10,"241","168","159",69.7,66,"266","200",110.4,83,"180",74.7,"376","16",4.3,0,0,0,0,NA,0,NA,"77",0,0,"77",32,"77",100,100,0,"25","0",32.5,32.5,NA,100,10.4,0,0,"82","191",106.5,248.1,"77",100,0,100,"77",100,"15",19.5
"2131","THQH Mannarkkad","2015-16",10,"0","0","0",NA,NA,"0","502",NA,NA,"257",NA,"186","0",0,NA,NA,NA,NA,NA,NA,NA,"916",0,0,"1,060",NA,"1,060",100,100,0,"389","101",46.2,42.5,70.1,86.4,42.5,0,13.6,"1,060","673",100,63.5,"1,059",99.9,7,99.3,"1,051",99.2,"159",15.1
"2141","THQH Ottappalam","2015-16",10,"78","58","11",74.4,14.1,"42","1,772",53.8,2271.8,"23",29.5,"99","0",0,5.1,1,0,1,0,0,0,"1,835",0,0,"4,665",5980.8,"4,666",100,100,0,"625","981",34.4,34.1,34.7,39.3,3.3,0,60.7,"4,666","1,337",100,28.7,"4,703",100.8,1,100,"4,703",100,"547",11.6
"2151","THQH Pattambi","2015-16",10,"0","0","0",NA,NA,"0","21",NA,NA,"0",NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,"12",0,0,"12",NA,"12",100,100,0,"0",NA,0,0,NA,100,66.7,0,0,"12","5",100,41.7,"12",100,0,100,"12",100,"3",25
"2161","Vadakkencherry CHCArea","2015-16",10,"2,335","1,925","889",82.4,38.1,"2,208","1,514",94.6,64.8,"382",16.4,"116","0",0,0.3,7,0,7,0,1,14.3,"0",0,NA,"0",0,"7",0,0,100,"0","0",NA,NA,NA,NA,NA,NA,NA,"7","2,074",100,9628.6,"7",100,0,100,"6",85.7,"4",66.7
"2181","Chathenkery CHCArea","2015-16",11,"1,215","985","967",81.1,79.6,"1,148","658",94.5,54.2,"1,139",93.7,"29","0",0,0.9,0,0,0,NA,0,NA,"0",0,NA,"536",44.1,"536",100,100,0,"0","187",34.9,NA,34.9,0,NA,NA,100,"536","1,153",100,215.1,"541",100.9,1,99.8,"541",100,"64",11.8
"2191","Dist Hosp Kozhencherry","2015-16",11,"142","118","64",83.1,45.1,"138","1,354",97.2,953.5,"125",88,"306","0",0,18.3,NA,NA,NA,NA,NA,NA,"514",0,0,"1,595",1123.2,"1,595",100,100,0,"230","805",64.9,44.7,74.5,32.2,84.4,0,67.8,"1,595","1,441",100,90.3,"1,607",100.8,2,99.9,"1,607",100,"184",11.4
"2201","Elanthoor CHCArea","2015-16",11,"1,251","979","1,231",78.3,98.4,"1,331","490",106.4,39.2,"1,231",98.4,"27","0",0,1.6,0,0,0,NA,0,NA,"0",0,NA,"0",0,"0",NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,"0","1,032",NA,NA,"0",NA,0,NA,"0",NA,"0",NA
"2211","Enadimangalam CHCArea","2015-16",11,"2,534","2,009","2,533",79.3,100,"2,311","2,207",91.2,87.1,"2,700",106.6,"238","1",0.4,2.6,1,0,1,0,0,0,"0",0,NA,"2,385",94.1,"2,386",100,100,0,"0","1,687",70.7,NA,70.7,0,NA,NA,100,"2,386","4,745",100,198.9,"2,478",103.9,4,99.8,"2,478",100,"448",18.1
"2221","Ezhumattoor CHCArea","2015-16",11,"568","414","427",72.9,75.2,"533","244",93.8,43,"513",90.3,"8","0",0,0.2,0,0,0,NA,0,NA,"0",0,NA,"0",0,"0",NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,"0","524",NA,NA,"0",NA,1,0,"0",NA,"0",NA
"2231","GH Adoor","2015-16",11,"45","30","45",66.7,100,"53","492",117.8,1093.3,"43",95.6,"901","11",1.2,8.9,NA,NA,NA,NA,NA,NA,"1,001",0,0,"1,001",2224.4,"1,001",100,100,0,"420",NA,42,42,NA,100,65.7,0,0,"1,001","1,065",100,106.4,"1,001",100,0,100,"1,001",100,"154",15.4
"2241","General Hosp Pathanamthitta","2015-16",11,"166","108","166",65.1,100,"402","304",242.2,183.1,"415",250,"44","10",22.7,15.7,NA,NA,NA,NA,NA,NA,"1,220",0,0,"2,170",1307.2,"2,170",100,100,0,"805","658",67.4,66,69.3,56.2,33.6,1.9,43.8,"2,170","2,170",100,100,"2,189",100.9,1,100,"2,189",100,"212",9.7
"2251","Kanjeettukara CHCArea","2015-16",11,"558","439","554",78.7,99.3,"589","176",105.6,31.5,"504",90.3,"14","0",0,1.4,0,0,0,NA,0,NA,"0",0,NA,"8",1.4,"8",100,100,0,"0","1",12.5,NA,12.5,0,NA,NA,100,"5","536",62.5,6700,"8",100,0,100,"7",87.5,"1",14.3
"2261","Konni CHCArea","2015-16",11,"1,476","1,203","1,469",81.5,99.5,"1,475","638",99.9,43.2,"1,459",98.8,"36","0",0,0.7,0,0,0,NA,0,NA,"0",0,NA,"82",5.6,"82",100,100,0,"0","55",67.1,NA,67.1,0,NA,NA,100,"82","1,437",100,1752.4,"83",101.2,0,100,"83",100,"3",3.6
"2271","Kunnanthanam BPHC Area","2015-16",11,"1,259","988","1,257",78.5,99.8,"1,153","554",91.6,44,"1,109",88.1,"34","0",0,1.3,0,0,0,NA,0,NA,"0",0,NA,"0",0,"0",NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,"0","1,169",NA,NA,"0",NA,0,NA,"0",NA,"0",NA
"2281","THQH Tiruvalla","2015-16",11,"223","178","90",79.8,40.4,"211","2,026",94.6,908.5,"190",85.2,"60","3",5,1.3,0,0,0,NA,0,NA,"376",0,0,"3,651",1637.2,"3,651",100,100,0,"181","1,700",51.5,48.1,51.9,10.3,64.4,0,89.7,"3,651","3,345",100,91.6,"3,707",101.5,16,99.6,"3,707",100,"502",13.5
"2291","Thumpamon CHCArea","2015-16",11,"718","563","718",78.4,100,"659","1,249",91.8,174,"652",90.8,"55","0",0,12,0,0,0,NA,0,NA,"0",0,NA,"1,716",239,"1,716",100,100,0,"0","1,064",62,NA,62,0,NA,NA,100,"1,716","2,353",100,137.1,"1,728",100.7,5,99.7,"1,728",100,"172",10
"2301","Vallana CHCArea","2015-16",11,"704","559","584",79.4,83,"706","233",100.3,33.1,"684",97.2,"30","0",0,1.1,0,0,0,NA,0,NA,"0",0,NA,"0",0,"0",NA,NA,NA,"0","0",NA,NA,NA,NA,NA,NA,NA,"0","650",NA,NA,"0",NA,0,NA,"0",NA,"0",NA
