"","Indicator","year","Indicator_no","Total.number.of.pregnant.women.Registered.for.ANC...","Number.of.Pregnant.women.registered.within.first.trimester...","Number.of.Women.registered.under.JSY...","X..1st.Trimester.registration.to.Total.ANC.Registrations...","X..JSY.registration.to.Total.ANC.Registration...","Number.of.pregnant.women.received.3.ANC.check.ups...","TT2.or.Booster.given.to.Pregnant.women..numbers....","X..Pregnant.Woman.received.3.ANC.check.ups.to.Total.ANC.Registrations...","X..Pregnant.women.received.TT2.or.Booster.to.Total.ANC.Registration...","Number.of.Pregnant.women.given.100.IFA.tablets...","X..Pregnant.women.given.100.IFA.to.Total.ANC.Registration...","Number.having.Hb.level.11..tested.cases....","Number.having.severe.anaemia..Hb.7..treated.at.institution...","X..Pregnant.women.having.severe.anaemia..Hb.7..treated.at.institution.to.women.having.hb.level.11...","X..New.cases.detected.at.institution.for.hypertension.to.Total.ANC.Registrations...","Number.of.Home.deliveries...","Number.of.home.deliveries.attended.by.SBA.trained..Doctor.Nurse.ANM....","Number.of.home.deliveries.attended.by.Non.SBA.trained..trained.TB.Dai....","X..SBA.attended.home.deliveries.to.Total.Reported.Home.Deliveries...","Mothers.paid.JSY.incentive.for.home.deliveries...","X..Mothers.paid.JSY.incentive.for.home.deliveries.to.Total.Reported.Home.Deliveries...","Deliveries.Conducted.at.Public.Institutions...","Number.of.Women.Discharged.under.48.hours.of.delivery.in.public.facilities...","X..Women.discharged.in.less.than.48.hours.of.delivery.to.Total.Reported.Deliveries.at.public.institutions...","Institutional.deliveries..Public.Insts..Pvt..Insts.....","X..Institutional.Deliveries.to.total.ANC.registration...","Total.reported.deliveries...","X..Institutional.deliveries.to.Total.Reported.Deliveries...","X..Safe.deliveries.to.Total.Reported.Deliveries...","X..Home.deliveries.to.Total.Reported.Deliveries...","Number.of.C.section.deliveries.conducted.at.public.facilities...","Number.of.C.section.deliveries.conducted.at.private.facilities...","X..C.section.deliveries..Public...Pvt...to.reported.institutional..Public...Pvt...deliveries...","X..C.sections.conducted.at.public.facilities.to.Deliveries.conducted.at.public.facilities...","X..C.sections.conducted.at.Private.facilities.to.Deliveries.conducted.at.private.facilities...","X..Deliveries.conducted.at.Public.Institutions.to.Total.Institutional.Deliveries...","X..Mothers.paid.JSY.Incentive.for.Delivery.at.Public.institution.to.Total.Public.Deliveries...","X..of.cases.where.JSY.Incentive.paid.to.ASHA.for.Delivery.at.Public.institution.to.Total.Public.Deliveries...","X..Deliveries.conducted.at.Private.Institutions.to.Total.Institutional.Deliveries...","Women.received.post.partum.check.up.within.48.hours.of.delivery...","Post...Natal.Care...Women.got.a.post.partum.check.up.between.48.hours.and.14.days...","X..Women.receiving.post.partum.check.up.within.48.hours.of.delivery.to.Total.Reported.Deliveries...","X..Women.getting.Post.Partum.Checkup.between.48.hours.and.14.days.to.Total.Deliveries...","Total.Number.of.reported.live.births...","X..Total.Reported.Live.Births.to.Total.Deliveries...","Total.Number.of.reported.Still.Births...","X..live.birth.to.Reported.Birth...","Number.of.Newborns.weighed.at.birth...","X..Newborns.weighed.at.birth.to.live.birth...","Number.of.Newborns.having.weight.less.than.2.5.kg...","X..Newborns.having.weight.less.than.2.5.kg.to.Newborns.weighed.at.birth..."
"1361","Kumarakom CHCArea","2015-16",7,"1,369","1,148","661",83.9,48.3,"1,326","1,269",96.9,92.7,"1,402",102.4,"6","0",0,0,1,0,1,0,0,0,"0",0,NA,"1,099",80.3,"1,100",99.9,99.9,0.1,"0","646",58.8,NA,58.8,0,NA,NA,100,"1,100","2,114",100,192.2,"1,104",100.4,0,100,"1,104",100,"83",7.5
"1371","Medical College Hospital","2015-16",7,"46","28","45",60.9,97.8,"40","1,313",87,2854.3,"43",93.5,"126","37",29.4,691.3,0,0,0,NA,0,NA,"5,514",51,0.9,"5,514",1987,"5,514",100,100,0,"1,909",NA,34.6,34.6,NA,100,19.1,0,0,"5,514","1,954",100,35.4,"5,489",99.5,136,97.6,"5,489",100,"1,683",30.7
"1381","Medical College Hospital Kottayam","2015-16",7,"398","281","298",70.6,74.9,"452","1,930",113.6,484.9,"485",121.9,"234","18",7.7,0,0,0,0,NA,0,NA,"1,660",10,0.6,"3,750",942.2,"3,750",100,100,0,"1,001","1,326",62.1,60.3,63.4,44.3,64.6,0,55.7,"3,750","989",100,26.4,"3,761",100.3,2,99.9,"3,761",100,"334",8.9
"1391","Mundankunnu BPHCArea","2015-16",7,"890","738","556",82.9,62.5,"933","283",104.8,31.8,"905",101.7,"1",NA,0,0.3,0,0,0,NA,0,NA,"0",4,NA,"0",0,"0",NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,"0","858",NA,NA,"0",NA,0,NA,"0",NA,"0",NA
"1401","Paika Elikulam MC CHCArea","2015-16",7,"433","375","166",86.6,38.3,"421","310",97.2,71.6,"413",95.4,"3","0",0,0.2,0,0,0,NA,0,NA,"2",2,100,"2",0.5,"2",100,100,0,"0",NA,0,0,NA,100,0,0,0,"2","347",100,7350,"2",100,0,100,"2",100,"1",50
"1411","Panachikkadu BPHCArea","2015-16",7,"1,018","850","660",83.5,64.8,"997","402",97.9,39.5,"1,044",102.6,"1","0",0,0.1,0,0,0,NA,0,NA,"0",1,NA,"32",3.1,"32",100,100,0,"0","16",50,NA,50,0,NA,NA,100,"32","954",100,2981.3,"31",96.9,1,96.9,"31",100,"4",12.9
"1421","THQH Kuravilangadu","2015-16",7,"0","0","0",NA,NA,"0","2",NA,NA,"0",NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,"0",0,NA,"0",NA,"0",NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,"0","0",NA,NA,"0",NA,0,NA,"0",NA,"0",NA
"1431","THQH Pampady","2015-16",7,"34","24","3",70.6,8.8,"60","91",176.5,267.6,"147",432.4,"0","0",NA,0,0,0,0,NA,0,NA,"3",3,100,"3",8.8,"3",100,100,0,"0",NA,0,0,NA,100,0,0,0,"3","29",100,966.7,"3",100,0,100,"3",100,"2",66.7
"1441","THQH Vaikom","2015-16",7,"80","56","64",70,80,"106","257",132.5,321.3,"103",128.8,"0","0",NA,0,0,0,0,NA,0,NA,"692",0,0,"728",910,"728",100,100,0,"407","36",60.9,58.8,100,95.1,0,0,4.9,"728","107",100,14.7,"728",100,0,100,"728",100,"40",5.5
"1451","Thalayolaparambu CHCArea","2015-16",7,"992","806","626",81.3,63.1,"910","664",91.7,66.9,"938",94.6,"18","1",5.6,0.2,1,0,1,0,0,0,"0",0,NA,"524",52.8,"525",99.8,99.8,0.2,"0","279",53.2,NA,53.2,0,NA,NA,100,"525","1,408",100,268.2,"525",100,0,100,"525",100,"2",0.4
"1461","Ullanad CHCArea","2015-16",7,"984","759","467",77.1,47.5,"930","631",94.5,64.1,"922",93.7,"21","1",4.8,0.8,0,0,0,NA,0,NA,"0",0,NA,"884",89.8,"884",100,100,0,"0","366",41.4,NA,41.4,0,NA,NA,100,"884","1,230",100,139.1,"884",100,1,99.9,"884",100,"80",9
"1471","Uzhavoor Speciality BPHCArea","2015-16",7,"551","439","309",79.7,56.1,"483","253",87.7,45.9,"540",98,"4","0",0,0.2,0,0,0,NA,0,NA,"0",0,NA,"175",31.8,"175",100,100,0,"0","112",64,NA,64,0,NA,NA,100,"175","507",100,289.7,"176",100.6,0,100,"176",100,"37",21
"1481","x","2015-16",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1501","Balussery CHC Area","2015-16",8,"2,028","1,657","1,966",81.7,96.9,"1,984","2,018",97.8,99.5,"1,878",92.6,"279","7",2.5,2.5,2,0,2,0,2,100,"0",0,NA,"343",16.9,"345",99.4,99.4,0.6,"0","131",38.2,NA,38.2,0,NA,NA,100,"308","1,766",89.3,511.9,"346",100.3,0,100,"346",100,"10",2.9
"1511","Cheroopa BPHC Area","2015-16",8,"1,910","1,306","1,431",68.4,74.9,"1,287","1,324",67.4,69.3,"1,353",70.8,"247","0",0,1,1,0,1,0,1,100,"0",0,NA,"0",0,"1",0,0,100,"0","0",NA,NA,NA,NA,NA,NA,NA,"0","1,336",0,3600,"1",100,0,100,"1",100,"1",100
