"","Parameter","Min","Max","Median","Standard_Deviation"
"Temperature","Temperature",22.8666661580404,26.5058823753806,24.7708330154419,0.607012335121366
"Noise","Noise",49.7881011962891,68.1333332061768,51.8187416394552,0.796130499892543
"Light","Light",0,556.913,8.0833,173.240100863892
"Co2","Co2",424,505.7368,438.0833,8.46464463477541
"VOC","VOC",311,370.7895,321.25,6.22866180915947
"Humidity","Humidity",55.0555553436279,74.9000015258789,62.551999206543,2.74914651110387
